row_id,language,part,unit,unit_title,source_markdown,line,figure_number,caption,image_alt_in_markdown,image_file,image_exists,image_dimensions,image_format,alt_text,long_description,decorative,review_status,reviewer,notes,zh_reference_caption,zh_reference_alt_text
ALT-0001,en,Part 1: Overview and Infrastructure,Ch01,Chapter 1: The Data Revolution in the Era of Large Models,docs/en/part1/ch01_data_change.md,153,1-1,"Figure 1-1: LLM-Era Data Engineering Role Restructuring Diagram. Source: original illustration. The figure depicts the role flywheel loop spanning platform architecture, data collection, model fine-tuning and validation, and product-research iteration; Alt text: LLM-era data engineering role restructuring diagram showing the closed-loop interfaces among platform, data, algorithms, annotation, product, and compliance roles","Figure 1-1: LLM-Era Data Engineering Role Restructuring Diagram, showing the closed-loop interfaces among platform, data, algorithms, annotation, product, and compliance roles",docs/images/part1/data_engineering_roles_1775830393574.svg,yes,768x768,svg,"LLM-era data engineering role restructuring diagram showing the closed-loop interfaces among platform, data, algorithms, annotation, product, and compliance roles.",,no,Draft,,,图1-1：大模型时代数据工程职责重构图。来源：本书自绘。该图展现了从平台架构、数据采集到模型微调验证再到产研迭代的角色飞轮闭环；Alt text：大模型时代数据工程职责重构图，展示平台、数据、算法、标注、产品与合规角色之间的闭环接口,图1-1：大模型时代数据工程职责重构图，展示平台、数据、算法、标注、产品与合规角色之间的闭环接口
ALT-0002,en,Part 1: Overview and Infrastructure,Ch01,Chapter 1: The Data Revolution in the Era of Large Models,docs/en/part1/ch01_data_change.md,226,1-2,"Figure 1-2: Full Fourteen-Part Lifecycle Map. Source: original illustration. The figure uses infrastructure as its foundation, threading through pretraining, multimodal data, alignment, applications, platform governance, compliance, and hands-on projects; Alt text: full fourteen-part lifecycle map showing the knowledge structure spanning general principles, pretraining, multimodal, alignment, applications, platform, compliance, and hands-on projects","Figure 1-2: Full Fourteen-Part Lifecycle Map, showing the knowledge structure spanning general principles, pretraining, multimodal, alignment, applications, platform, compliance, and hands-on projects",docs/images/part1/data_lifecycle_map_1775830407042.svg,yes,768x708,svg,"full fourteen-part lifecycle map showing the knowledge structure spanning general principles, pretraining, multimodal, alignment, applications, platform, compliance, and hands-on projects.",,no,Draft,,,图1-2：全书十四篇制生命周期地图。来源：本书自绘。该图以基础设施为底座，串联预训练、多模态、对齐、应用、平台治理、合规与项目实战；Alt text：全书十四篇制生命周期地图，展示从总论、预训练、多模态、对齐、应用、平台、合规到项目实战的知识结构,图1-2：全书十四篇制生命周期地图，展示从总论、预训练、多模态、对齐、应用、平台、合规到项目实战的知识结构
ALT-0003,en,Part 1: Overview and Infrastructure,Ch02,Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework,docs/en/part1/ch02_quality_framework.md,104,2-1,"Figure 2-1: Multi-dimensional quality layering architecture from a lifecycle perspective. Source: original illustration from this book. The upper half is a horizontal four-stage pipeline: pre-training (scale/diversity/low duplication), SFT (instruction coverage/format compliance/factual accuracy), RLHF/DPO preference alignment (contrastive signal/annotation consistency/value alignment), and RAG application (timeliness/retrieval accuracy/traceability); the lower half is a triangular mapping structure showing the bidirectional relationships among offline data quality, proxy model evaluation, and real online business metrics. Alt text: horizontal four-stage pipeline diagram from pre-training to RAG application showing key quality metrics at each stage; the triangle below shows the relationships among offline data quality, proxy model evaluation, and real business metrics","Figure 2-1: Multi-dimensional quality layering architecture from a lifecycle perspective, showing how metric weights shift across stages from scale and diversity toward truthfulness and helpfulness",docs/images/part1/data_quality_hierarchy_1775835516841.svg,yes,768x768,svg,"horizontal four-stage pipeline diagram from pre-training to RAG application showing key quality metrics at each stage; the triangle below shows the relationships among offline data quality, proxy model evaluation, and real business metrics.","Review against the figure and surrounding text in Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图2-1：生命周期视角下的多维度质量分层架构。来源：本书自绘。上半部分为水平四阶段流水线：预训练（规模/多样性/低重复率）→ 指令微调SFT（指令覆盖/格式合规/事实准确）→ 偏好对齐RLHF/DPO（对比信号/标注一致性/价值观贴合）→ RAG应用（时效性/检索精度/可追溯性）；下半部分为三角映射结构，展示离线数据质量、代理模型评测和真实业务在线三者的双向关联。Alt text：水平四阶段流水线图，从预训练到RAG应用展示各阶段关键质量指标；下方三角形展示离线数据质量、代理模型评测与真实业务指标的相互关系,图2-1：生命周期视角下的多维度质量分层架构，展示不同阶段质量指标权重从规模、多样性转向真实性、帮助性
ALT-0004,en,Part 1: Overview and Infrastructure,Ch02,Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework,docs/en/part1/ch02_quality_framework.md,148,2-2,"Figure 2-2: Cross-mapping matrix of large language model data defects and quality metrics. Source: original illustration from this book. The matrix rows are six defect classes: noise, repetition, benchmark contamination, systematic bias, structural incompleteness, and staleness; the columns are five quality metrics: accuracy, consistency, diversity, coverage, and traceability. Each cell uses a filled circle (strong impact), half circle (medium impact), or empty circle (weak impact) to mark impact strength. Alt text: 6-by-5 cross-mapping matrix with six data defect classes as rows and five quality metrics as columns; each cell uses a filled circle, half circle, or empty circle to indicate impact strength, with a legend for the three symbols at the bottom","Figure 2-2: Cross-mapping diagram of large language model data defects and quality metrics, showing the relationships between six defect classes and accuracy, consistency, diversity, coverage, and traceability",docs/images/part1/defect_metric_radar_1775835533937.svg,yes,768x768,svg,"6-by-5 cross-mapping matrix with six data defect classes as rows and five quality metrics as columns; each cell uses a filled circle, half circle, or empty circle to indicate impact strength, with a legend for the three symbols at the bottom.","Review against the figure and surrounding text in Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图2-2：大模型数据缺陷与质量指标交叉映射矩阵。来源：本书自绘。矩阵行为六类缺陷：噪声、重复、基准污染、系统偏差、结构缺失、时效衰败；矩阵列为五项质量指标：准确度、一致性、多样性、覆盖度、可追溯性。各单元格以实心圆（强影响）、半圆（中等影响）、空圆（弱影响）标注影响程度。Alt text：6行×5列交叉映射矩阵，行为六类数据缺陷，列为五项质量指标，每个单元格用实心圆、半圆或空圆表示影响强弱；底部附图例说明三种符号含义,图2-2：大模型数据缺陷与质量指标交叉映射图，展示六类缺陷与准确度、一致性、多样性、覆盖度和可追溯性之间的关系
ALT-0005,en,Part 1: Overview and Infrastructure,Ch02,Chapter 2: LLM Data Lifecycle and Quality Evaluation Framework,docs/en/part1/ch02_quality_framework.md,299,2-3,"Figure 2-3: Automated blocking and governance flow driven by the data scorecard. Source: original illustration from this book. The figure shows how hard gates, soft gates, manual review, and rollback actions collectively block contaminated or degraded data samples; Alt text: automated blocking and governance flow driven by the data scorecard, showing hard gates, soft gates, manual review, and rollback actions","Figure 2-3: Automated blocking and governance flow driven by the data scorecard, showing hard gates, soft gates, manual review, and rollback actions",docs/images/part1/data_quality_gates_1775835548587.svg,yes,768x634,svg,"automated blocking and governance flow driven by the data scorecard, showing hard gates, soft gates, manual review, and rollback actions.",,no,Draft,,,图2-3：数据评分卡驱动的自动截断与治理流。来源：本书自绘。该图展示硬闸门、软闸门、人工复核和回滚动作如何共同阻隔被污染或劣化的数据样本；Alt text：数据评分卡驱动的自动截断与治理流，展示硬闸门、软闸门、人工复核和回滚动作,图2-3：数据评分卡驱动的自动截断与治理流，展示硬闸门、软闸门、人工复核和回滚动作
ALT-0006,en,Part 1: Overview and Infrastructure,Ch03,Chapter 3: AI-Native Data Stack and Cost Governance,docs/en/part1/ch03_data_stack.md,72,3-1,"Figure 3-1: Five-layer architecture of an AI-native data stack. Source: original illustration from this book. The figure shows how ingestion and access, processing orchestration, storage and indexing, evaluation operations, and governance and security layers jointly move data from raw corpus to trainable datasets; Alt text: five-layer architecture of an AI-native data stack showing the data flow among ingestion and access, processing orchestration, storage and indexing, evaluation operations, and governance and security layers",Figure 3-1: Five-layer architecture of an AI-native data stack,docs/images/part1/ai_data_stack_architecture.svg,yes,768x768,svg,"five-layer architecture of an AI-native data stack showing the data flow among ingestion and access, processing orchestration, storage and indexing, evaluation operations, and governance and security layers.","Review against the figure and surrounding text in Chapter 3: AI-Native Data Stack and Cost Governance; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图3-1：AI 原生数据栈五层架构。来源：本书自绘。该图展示采集接入、处理编排、存储索引、评测运营和治理安全层如何协同驱动数据从原始语料流向可训练数据集；Alt text：AI 原生数据栈五层架构，展示采集接入、处理编排、存储索引、评测运营和治理安全层之间的数据流,图3-1：AI原生数据栈五层架构，展示采集接入、处理编排、存储索引、评测运营和治理安全层之间的数据流
ALT-0007,en,Part 1: Overview and Infrastructure,Ch03,Chapter 3: AI-Native Data Stack and Cost Governance,docs/en/part1/ch03_data_stack.md,264,3-2,"Figure 3-2: Training-data cost-governance loop. Source: original illustration from this book. The figure shows a cross-version iteration cycle that starts from budget planning, passes through cost monitoring, ROI evaluation, and optimization decisions, and returns to budget review; Alt text: training-data cost-governance loop showing the cycle of budget planning, cost monitoring, ROI evaluation, optimization decisions, and budget review",Figure 3-2: Training-data cost-governance loop,docs/images/part1/cost_governance_loop.svg,yes,768x768,svg,"training-data cost-governance loop showing the cycle of budget planning, cost monitoring, ROI evaluation, optimization decisions, and budget review.",,no,Draft,,,图3-2：训练数据成本治理闭环。来源：本书自绘。该图展示从预算规划出发，经过成本监控、ROI 评估和优化决策，最终回归预算复盘的跨版本迭代过程；Alt text：训练数据成本治理闭环图，展示预算规划、成本监控、ROI 评估、优化决策和预算复盘的循环,图3-2：训练数据成本治理闭环图，展示预算规划、成本监控、ROI评估、优化决策和预算复盘的循环
ALT-0008,en,Part 2: Text Pre-training Data Engineering,Ch04,"Chapter 4: Data Sources, Acquisition, and Copyright",docs/en/part2/ch04_data_sources.md,63,4-1,"Figure 4-1: Layered map of pre-training data sources. The three-layer taxonomy positions mainstream sources by processing complexity, knowledge density, and license risk, with typical reference ranges for mixing. Source: original illustration from this book; Alt text: layered map of pretraining data sources showing the quality and compliance positions of open web, forums and Q&A, encyclopedias, code, academic papers, books, enterprise internal data, and user feedback data",Figure 4-1: Layered map of pre-training data sources,docs/images/part2/pretrain_data_source_map.svg,yes,768x768,svg,"layered map of pretraining data sources showing the quality and compliance positions of open web, forums and Q&A, encyclopedias, code, academic papers, books, enterprise internal data, and user feedback data.",,no,Draft,,,图4-1：预训练数据源分层地图 —— 三层分类体系按照处理复杂度、知识密度和许可风险对主流数据来源进行定位，并给出典型的配比参考区间。来源：本书自绘；Alt text：预训练数据源分层地图，展示开放网页、论坛问答、百科、代码、学术论文、书籍、企业内部数据和用户反馈数据的质量与合规位置,图4-1：预训练数据源分层地图
ALT-0009,en,Part 2: Text Pre-training Data Engineering,Ch04,"Chapter 4: Data Sources, Acquisition, and Copyright",docs/en/part2/ch04_data_sources.md,266,4-2,"Figure 4-2: Data ingestion and provenance chain. From source contact to final archive, each processing stage appends metadata records to the ""Provenance Ledger,"" forming a complete auditable data-lineage chain. Source: original illustration from this book; Alt text: data ingestion and provenance chain diagram showing the links among source contact, acquisition, parsing, cleaning, storage, and audit records",Figure 4-2: Data ingestion and provenance chain,docs/images/part2/data_ingestion_provenance_chain.svg,yes,768x768,svg,"data ingestion and provenance chain diagram showing the links among source contact, acquisition, parsing, cleaning, storage, and audit records.",,no,Draft,,,"图4-2：数据采集与权属存证流程——从数据源触达到最终归档，每个处理阶段均向""Provenance Ledger（权属账本）""追加元数据记录，形成完整的可审计数据血缘链路。来源：本书自绘；Alt text：数据采集与权属存证流程图，展示来源触达、采集、解析、清洗、入库和审计记录之间的链路",图4-2：数据采集与权属存证流程图
ALT-0010,en,Part 2: Text Pre-training Data Engineering,Ch05,"Chapter 5: Cleaning, Deduplication, and Decontamination",docs/en/part2/ch05_cleaning_dedup.md,55,5-1,"Figure 5-1: Overview Flowchart of the Cleaning and Decontamination Pipeline — A multi-stage quality gate gradually refines raw corpus into candidate training corpus. The proportions in the figure are illustrative only; real retention rates depend on source quality, filtering thresholds, and compliance requirements. Source: original illustration from this book; Alt text: overview flowchart of the cleaning and decontamination pipeline, showing the sequential relationship among rule-based filtering, model scoring, deduplication, PII redaction, decontamination, and manual spot-checks",Figure 5-1: Overview Flowchart of the Cleaning and Decontamination Pipeline,docs/images/part2/cleaning_pipeline_overview.svg,yes,768x768,svg,"overview flowchart of the cleaning and decontamination pipeline, showing the sequential relationship among rule-based filtering, model scoring, deduplication, PII redaction, decontamination, and manual spot-checks.","Review against the figure and surrounding text in Chapter 5: Cleaning, Deduplication, and Decontamination; expand if Springer requests a longer description for the visual relationships, axes, or sequence.",no,Draft,,,图5-1：清洗与去污染全景流程图 —— 多阶段质量闸门从原始语料逐步精炼为候选训练语料，图中比例仅为示意，真实留存率取决于来源质量、过滤阈值和合规要求。来源：本书自绘；Alt text：清洗与去污染全景流程图，展示规则过滤、模型评分、去重、PII 脱敏、去污染和人工抽检的顺序关系,图5-1：清洗与去污染全景流程图
